PL,PR,holiday
2018-11-9,2018-11-11,weekend
2018-11-22,2018-11-24,weekend
2018-12-21,2019-01-01,weekend
2018-11-09,2018-11-11,weekend
2018-11-16,2018-11-18,weekend
2018-11-23,2018-11-25,weekend
2018-11-30,2018-11-02,weekend
2018-12-07,2018-12-09,weekend
2018-12-14,2018-12-16,weekend
2018-12-21,2018-12-23,weekend
2018-12-28,2018-12-30,weekend
