ID,2019-01-18,2019-01-20,2019-02-15,2019-02-17,2019-03-15,2019-03-17,2019-04-19,2019-04-21,2019-05-03,2019-05-05,2019-05-24,2019-05-26,2019-07-04,2019-07-06,2019-10-11,2019-10-13,2019-11-08,2019-11-10,2019-11-28,2019-11-30,2019-12-21,2020-01-01,2018-01-12,2018-01-15,2018-02-16,2018-02-19,2018-03-16,2018-03-18,2018-03-30,2018-04-01,2018-05-04,2018-05-06,2018-05-25,2018-05-28,2018-07-04,2018-07-07,2018-08-31,2018-09-03,2018-10-05,2018-10-08,2018-11-09,2018-11-12,2018-11-22,2018-11-24,2018-12-21,2019-01-01
1990-95366,,,,,"$1,990.00",,$790.00,,$790.00,,$850.00,,"$1,050.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,975.00",
1990-131005,,,,,,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95164,,,,,"$2,790.00",,"$1,700.00",,"$1,700.00",,"$1,700.00",,"$1,900.00",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,912.50",,"$2,250.00",,,,"$18,400.00",
1990-124525,,,,,,,,,"$1,590.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-123046,,,,,,,,,"$1,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,550.00",,,,,,,
1990-102826,,,,,,,,,"$1,250.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-129867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-106289,,,,,,,,,"$1,300.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,625.00",,"$1,625.00",,,,,
1990-110226,,,,,,,,,"$1,590.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-134305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,500.00",
1990-137010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-143026,,,,,,,,,$790.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-143383,,,,,,,,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,400.00",,"$1,400.00",,,,,
1990-147233,,,,,,,,,$850.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,295.00",,,,,,,
1990-146586,,,,,,,,,"$1,590.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,900.00",,"$1,900.00",,,,"$9,428.56",
1990-147607,,,,,,,,,"$1,150.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,400.00",,"$1,400.00",,,,"$8,092.84",
1990-95565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-148652,,,,,,,,,"$1,280.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,670.00",,"$1,670.00",,,,,
1990-120448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-95562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,371.45",
