ID,2019-01-18,2019-01-20,2019-02-15,2019-02-17,2019-03-15,2019-03-17,2019-04-19,2019-04-21,2019-05-03,2019-05-05,2019-05-24,2019-05-26,2019-07-04,2019-07-06,2019-10-11,2019-10-13,2019-11-08,2019-11-10,2019-11-28,2019-11-30,2019-12-21,2020-01-01,2018-01-12,2018-01-15,2018-02-16,2018-02-19,2018-03-16,2018-03-18,2018-03-30,2018-04-01,2018-05-04,2018-05-06,2018-05-25,2018-05-28,2018-07-04,2018-07-07,2018-08-31,2018-09-03,2018-10-05,2018-10-08,2018-11-09,2018-11-12,2018-11-22,2018-11-24,2018-12-21,2019-01-01
200568,880.0,,880.0,,323.44,,300,,300,,340.0,,448.0,,0,,0,,0,,2440.3,,1366.88,,890,,323.44,,323.44,,300,,510.0,,672.0,,460,,435,,797.4,,512.61,,5533.42,
81340,2002.0,,2002.0,,452.82,,350,,350,,500.0,,416.0,,0,,0,,0,,4330.88,,1653.76,,1240,,452.82,,452.82,,350,,750.0,,624.0,,575,,500,,1462.51,,871.88,,10293.08,
304251,448.0,,448.0,,161.72,,230,,230,,200.0,,256.0,,0,,0,,0,,1280.14,,703.74,,463,,161.72,,161.72,,230,,300.0,,384.0,,400,,319,,852.75,,515.25,,3083.5,
60799,560.0,,560.0,,226.42,,270,,270,,297.5,,256.0,,0,,0,,0,,2207.04,,826.9,,635,,226.42,,226.42,,270,,446.25,,384.0,,410,,385,,706.69,,450.38,,3950.1,
60842,800.0,,800.0,,271.7,,400,,420,,382.5,,448.0,,0,,0,,0,,2778.99,,1127.26,,768,,271.7,,271.7,,420,,573.75,,672.0,,650,,500,,917.61,,585.37,,5058.98,
60770,1040.0,,1040.0,,355.78,,350,,350,,382.5,,448.0,,0,,0,,0,,3773.22,,1544.08,,1015,,355.78,,355.78,,350,,573.75,,672.0,,525,,500,,1054.72,,675.02,,6482.37,
60781,592.0,,592.0,,258.76,,350,,350,,340.0,,288.0,,0,,0,,0,,2615.23,,1113.76,,730,,258.76,,258.76,,350,,510.0,,432.0,,490,,470,,872.88,,559.63,,4014.1,
306890,4608.0,,4608.0,,1940.62,,1398,,1398,,1615.0,,894.72,,0,,0,,0,,20250.04,,6772.5,,5100,,1940.62,,1940.62,,1398,,2422.5,,1342.08,,2600,,2800,,4200.0,,2700.0,,26716.0,
200818,1200.0,,1200.0,,517.5,,350,,350,,510.0,,352.0,,0,,0,,0,,4370.45,,970.34,,1460,,517.5,,517.5,,350,,765.0,,528.0,,500,,475,,875.43,,543.19,,7116.81,
60773,720.0,,720.0,,291.08,,270,,270,,340.0,,320.0,,0,,0,,0,,3013.78,,1366.88,,920,,291.08,,291.08,,270,,510.0,,480.0,,420,,380,,698.25,,441.94,,4584.61,
60819,5376.0,,5376.0,,3600.0,,1900,,1900,,2400.0,,3200.0,,0,,0,,0,,13722.72,,5789.52,,5174,,3600.0,,3600.0,,1900,,3600.0,,4800.0,,2449,,2449,,4533.53,,2729.99,,32627.0,
60813,720.0,,720.0,,226.42,,300,,300,,297.5,,320.0,,0,,0,,0,,2301.99,,970.34,,730,,226.42,,226.42,,300,,446.25,,480.0,,425,,425,,780.53,,495.74,,4584.61,
200865,704.0,,704.0,,388.12,,350,,350,,382.5,,384.0,,0,,0,,0,,2768.78,,13398.76,,990,,388.12,,388.12,,350,,573.75,,576.0,,450,,425,,780.53,,495.74,,4929.91,
60820,400.0,,400.0,,194.08,,200,,200,,170.0,,256.0,,0,,0,,0,,1934.24,,826.9,,540,,194.08,,194.08,,200,,255.0,,384.0,,305,,290,,531.6,,341.74,,2686.78,
147094,896.0,,896.0,,388.12,,400,,400,,255.0,,448.0,,0,,0,,0,,3348.0,,1620.02,,1050,,388.12,,388.12,,400,,382.5,,672.0,,650,,650,,650.0,,425.0,,5250.98,
208015,640.0,,640.0,,291.08,,320,,320,,382.5,,384.0,,0,,0,,0,,868.61,,1270.72,,837,,291.08,,291.08,,320,,573.75,,576.0,,480,,465,,510.94,,322.97,,3861.25,
314555,1024.0,,1024.0,,226.42,,300,,300,,150.0,,384.0,,0,,0,,0,,2451.2,,1300.0,,635,,226.42,,226.42,,300,,225.0,,576.0,,475,,475,,650.0,,400.0,,6423.0,
