PL,PR,holiday
01-12,01-15,mlk day
02-16,02-19,president's day
03-16,03-17,st patrick's day
03-30,04-01,easter
05-04,05-05,cinco de mayo
05-25,05-28,memorial day
07-04,07-07,4th of july
08-31,09-03,labor day
10-05,10-08,columbus day 
11-09,11-12,veteran's day
11-22,11-24,thanksgiving
12-21,01-01,christmas season
