id,url,booked
UnitID=14411,https://www.vacasa.com/unit.php?UnitID=14411,['2018-08-07']
UnitID=7371,https://www.vacasa.com/unit.php?UnitID=7371,"['2018-08-06', '2018-08-07']"
UnitID=11811,https://www.vacasa.com/unit.php?UnitID=11811,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=15107,https://www.vacasa.com/unit.php?UnitID=15107,[]
UnitID=16242,https://www.vacasa.com/unit.php?UnitID=16242,[]
UnitID=8005,https://www.vacasa.com/unit.php?UnitID=8005,[]
UnitID=15580,https://www.vacasa.com/unit.php?UnitID=15580,[]
UnitID=10005,https://www.vacasa.com/unit.php?UnitID=10005,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=9268,https://www.vacasa.com/unit.php?UnitID=9268,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=16824,https://www.vacasa.com/unit.php?UnitID=16824,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=3778,https://www.vacasa.com/unit.php?UnitID=3778,['2018-08-06']
UnitID=6005,https://www.vacasa.com/unit.php?UnitID=6005,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=12414,https://www.vacasa.com/unit.php?UnitID=12414,[]
UnitID=16261,https://www.vacasa.com/unit.php?UnitID=16261,[]
UnitID=14526,https://www.vacasa.com/unit.php?UnitID=14526,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=13394,https://www.vacasa.com/unit.php?UnitID=13394,[]
UnitID=11791,https://www.vacasa.com/unit.php?UnitID=11791,[]
UnitID=12548,https://www.vacasa.com/unit.php?UnitID=12548,[]
UnitID=7391,https://www.vacasa.com/unit.php?UnitID=7391,[]
UnitID=11181,https://www.vacasa.com/unit.php?UnitID=11181,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=14292,https://www.vacasa.com/unit.php?UnitID=14292,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=3181,https://www.vacasa.com/unit.php?UnitID=3181,"['2018-08-07', '2018-08-08']"
UnitID=15987,https://www.vacasa.com/unit.php?UnitID=15987,"['2018-08-06', '2018-08-07']"
UnitID=15524,https://www.vacasa.com/unit.php?UnitID=15524,[]
UnitID=10102,https://www.vacasa.com/unit.php?UnitID=10102,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=12042,https://www.vacasa.com/unit.php?UnitID=12042,[]
UnitID=11002,https://www.vacasa.com/unit.php?UnitID=11002,[]
UnitID=7854,https://www.vacasa.com/unit.php?UnitID=7854,['2018-08-06']
UnitID=10357,https://www.vacasa.com/unit.php?UnitID=10357,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=11732,https://www.vacasa.com/unit.php?UnitID=11732,[]
UnitID=12259,https://www.vacasa.com/unit.php?UnitID=12259,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=14799,https://www.vacasa.com/unit.php?UnitID=14799,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=12888,https://www.vacasa.com/unit.php?UnitID=12888,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=1959,https://www.vacasa.com/unit.php?UnitID=1959,"['2018-08-07', '2018-08-08']"
UnitID=6694,https://www.vacasa.com/unit.php?UnitID=6694,['2018-08-06']
UnitID=15908,https://www.vacasa.com/unit.php?UnitID=15908,[]
UnitID=14542,https://www.vacasa.com/unit.php?UnitID=14542,[]
UnitID=11217,https://www.vacasa.com/unit.php?UnitID=11217,[]
UnitID=9616,https://www.vacasa.com/unit.php?UnitID=9616,['2018-08-06']
UnitID=5465,https://www.vacasa.com/unit.php?UnitID=5465,[]
UnitID=15878,https://www.vacasa.com/unit.php?UnitID=15878,[]
UnitID=16863,https://www.vacasa.com/unit.php?UnitID=16863,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=2880,https://www.vacasa.com/unit.php?UnitID=2880,[]
UnitID=8463,https://www.vacasa.com/unit.php?UnitID=8463,['2018-08-08']
UnitID=16143,https://www.vacasa.com/unit.php?UnitID=16143,[]
UnitID=3262,https://www.vacasa.com/unit.php?UnitID=3262,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=16900,https://www.vacasa.com/unit.php?UnitID=16900,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=5466,https://www.vacasa.com/unit.php?UnitID=5466,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=14688,https://www.vacasa.com/unit.php?UnitID=14688,['2018-08-06']
UnitID=3266,https://www.vacasa.com/unit.php?UnitID=3266,[]
UnitID=10236,https://www.vacasa.com/unit.php?UnitID=10236,[]
UnitID=14828,https://www.vacasa.com/unit.php?UnitID=14828,"['2018-08-06', '2018-08-07']"
UnitID=14611,https://www.vacasa.com/unit.php?UnitID=14611,"['2018-08-06', '2018-08-07']"
UnitID=9366,https://www.vacasa.com/unit.php?UnitID=9366,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=12635,https://www.vacasa.com/unit.php?UnitID=12635,[]
UnitID=8650,https://www.vacasa.com/unit.php?UnitID=8650,[]
UnitID=10935,https://www.vacasa.com/unit.php?UnitID=10935,[]
UnitID=12187,https://www.vacasa.com/unit.php?UnitID=12187,[]
UnitID=12634,https://www.vacasa.com/unit.php?UnitID=12634,[]
UnitID=13933,https://www.vacasa.com/unit.php?UnitID=13933,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=4245,https://www.vacasa.com/unit.php?UnitID=4245,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=11717,https://www.vacasa.com/unit.php?UnitID=11717,['2018-08-08']
UnitID=11201,https://www.vacasa.com/unit.php?UnitID=11201,[]
UnitID=9594,https://www.vacasa.com/unit.php?UnitID=9594,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=9574,https://www.vacasa.com/unit.php?UnitID=9574,"['2018-08-06', '2018-08-07']"
UnitID=17250,https://www.vacasa.com/unit.php?UnitID=17250,"['2018-08-06', '2018-08-07', '2018-08-08']"
UnitID=11718,https://www.vacasa.com/unit.php?UnitID=11718,[]
UnitID=11185,https://www.vacasa.com/unit.php?UnitID=11185,"['2018-08-06', '2018-08-07', '2018-08-08']"
